series,attrib,true,fcast_50,fcast_avg,fcast_05,fcast_95,yar,yhw,ysvm,ylstm,ymlp,yrf,yxgb,yarima
41,AR,10,9.977223010761492,10.487241987276779,6.376231160789275,16.89448788124055,15.265116125035604,15.541664170384028,15.140655026535192,15.837562532708205,14.198364491865233,15.38780114798405,15.307079314956962,15.448457812704309
42,AR,16,16.7606701067285,17.182290918002067,10.637772387676454,25.680371784927686,9.409967875902428,9.66274624256688,9.611357786365206,9.386578933072082,9.304645313759927,10.492648236134913,11.193006243299436,9.709363512787712
43,AR,23,22.064115606190107,23.019517195525683,13.246743464098381,36.93524007712893,18.77753621338534,19.74263135670775,17.70563407710403,18.481558606429576,17.595441019238073,19.364154444548316,18.314011896976943,18.538655599705532
44,AR,13,13.293029971273151,13.819948267468178,9.073260953287159,20.43286507380944,18.884334445007667,19.71147638453842,20.977377604434977,18.798941982250145,20.028176234398263,21.64964495862154,23.986126644889573,19.258499065327666
45,AR,15,12.879680568202772,13.573505987250115,7.621659220149907,21.077777225169978,12.062684375920224,12.816692789990704,13.142921688211505,11.934056616781557,11.919493050754081,14.766132057222153,17.56530724626574,12.224369269115368
46,AR,18,16.694064583551167,16.94287082989509,12.73369584299892,22.09804828024564,21.73033009203062,22.884682124873457,21.36686142115765,21.373909752448917,21.472711604386244,24.113728584825058,25.596905476775234,22.69164868589956
47,AR,5,4.659344404380262,4.913519303207759,2.639593061511721,7.968119569983697,3.642251052245075,3.9151867952983577,3.8237148041234907,3.8350408850004505,3.949666690040366,3.936041003302539,3.9331246236744897,3.2379595482168595
48,AR,12,11.67873657010968,12.181597973976073,7.286548241778101,19.03760064606326,9.379790896070034,9.84461073529204,9.875165964017253,9.652910459305154,8.808227246786704,11.264009860688825,11.981447480657861,9.588565328899561
49,AR,19,16.469800665300617,17.14613277865757,10.166496237065791,25.344480847483485,19.103676817412698,20.006088153818048,19.186132507345462,18.68783347220729,18.41247963637983,22.933304632788484,25.358688827176483,21.112339030714384
50,AR,26,23.360409510775458,24.381281921761115,14.264363876236722,38.73373733695772,29.033913677578866,29.653087923284083,29.037729184002135,28.331537042330776,29.795994995871073,34.19267990654372,35.19443558484608,29.056158022458906
51,AR,15,14.548963799846526,15.091097884559622,8.794546804393226,23.661663894146272,13.111585320407668,14.182338293568563,14.649365109710631,13.824980571568394,13.950411482561686,17.02121623665355,20.245800172578118,14.874389394632132
