series,attrib,true,fcast_50,fcast_avg,fcast_05,fcast_95,yar,yhw,ysvm,ylstm,ymlp,yrf,yxgb,yarima
39,rfAR,20,18.182431581073754,18.964101988351405,9.086082751455583,31.747067871519345,18.64403168078418,18.27133391612109,19.066464614414816,18.96781070257925,19.02703528687403,27.060324169579108,30.984851990028822,17.282474728285482
40,rfAR,12,11.708522884849515,12.840243336288168,5.58867389838051,26.911974438190935,10.40341314968033,11.220709554061246,11.663908793414706,11.255286034476843,10.211910924974202,13.533842773587256,17.764469704205137,11.979436381152079
41,rfAR,10,10.712036844369715,11.136514471471175,6.847116345144924,17.463997242482137,10.830275744930704,10.567136765945467,11.015598090995187,11.29180195225652,10.426857139413901,10.934073409221783,10.911511403304896,10.94466197180083
42,rfAR,16,16.712817651821247,17.353042302692735,11.177299558922208,26.54918723823588,16.104266186776517,16.719127054728805,16.14113801957933,16.01941224461291,16.136071976991165,18.046120980989137,19.123507530083856,17.050462999783147
43,rfAR,23,21.96820667294028,22.709163595293226,14.302807399293053,34.38738472382854,21.701718800530955,23.10430018113263,20.034470650605694,20.80633116361771,22.159325739171337,22.33979710061758,21.021556384156312,21.389674021665687
44,rfAR,13,14.696087636566196,15.12508784473569,10.312601374624807,21.679830789214027,14.772496537969703,15.258664528301853,15.343106394362348,14.269986713720648,15.50548494492436,16.476405485965024,18.23246777029181,15.210139990871818
45,rfAR,15,16.74130162820428,17.470858683876646,9.23810125106764,27.77312340414774,15.641429269818955,15.999091565429119,16.60414412647783,15.389145923663989,14.457226577876359,18.993555549690505,22.549488515706418,16.47157725448276
46,rfAR,18,17.29334075363415,18.18963380703635,13.324550019557845,26.30029472098744,17.99999999999999,18.654255455312217,17.857714603855374,17.644633987357764,18.371115834769995,19.923700429584716,21.09381155998023,18.631119159328787
47,rfAR,5,6.6017189234575175,6.785409856529681,3.927216325566514,10.185349328350572,6.0602944290757845,6.091254831306066,5.969330154697975,6.049013582933858,5.502526056590143,6.250000000000002,6.24585322177633,5.45534243949463
48,rfAR,12,13.106001840857369,13.478382709778753,8.123797055731318,20.68417719693817,13.0,13.023035118480971,13.31190907471242,13.07589530044213,13.009386931547635,15.17774411096387,16.17246013352704,13.001000402537914
49,rfAR,19,16.618816665955144,18.000009690245975,11.122478594646159,28.080462050378436,17.283313084053173,18.758683865582917,17.426476202664123,16.94260714501101,17.523224326186455,20.918477469161353,23.064114645956344,17.124571050203375
50,rfAR,26,20.67567511202486,21.72392463740284,13.260534843160338,34.70308158955543,22.297575906823248,23.09991539058497,22.289310845183568,21.830085237856512,23.403077739380386,26.291978822645607,26.940556805038945,22.650309445338628
51,rfAR,15,14.839488128839129,15.089627932592212,9.578586201721787,22.447117604187852,13.574892620423832,14.129499801021717,14.848874925590424,14.242748209214795,14.592136510800996,17.53251281509893,20.825761199717583,15.04791232933924
