idserie,month,periodo,val
9,19-Mar,2,10
9,19-Apr,3,10
9,19-May,4,11
9,19-Jun,5,11
9,19-Jul,6,11
9,19-Aug,7,11
9,19-Sep,8,11
9,19-Oct,9,12
9,19-Nov,10,12
9,19-Dec,11,12
9,20-Jan,12,12
9,20-Feb,13,11
9,20-Mar,14,11
9,20-Apr,15,11
9,20-May,16,12
9,20-Jun,17,12
9,20-Jul,18,12
9,20-Aug,19,13
9,20-Sep,20,12
9,20-Oct,21,14
9,20-Nov,22,12
9,20-Dec,23,15
9,21-Jan,24,13
9,21-Feb,25,11
9,21-Mar,26,13
9,21-Apr,27,12
9,21-May,28,14
9,21-Jun,29,13
9,21-Jul,30,15
9,21-Aug,31,13
9,21-Sep,32,13
9,21-Oct,33,14
9,21-Nov,34,14
9,21-Dec,35,16
9,22-Jan,36,14
9,22-Feb,37,13
9,22-Mar,38,13
9,22-Apr,39,14
9,22-May,40,15
9,22-Jun,41,14
9,22-Jul,42,16
9,22-Aug,43,14
9,22-Sep,44,16
9,22-Oct,45,15
9,22-Nov,46,15
9,22-Dec,47,17
10,19-Jan,0,21
10,19-Feb,1,20
10,19-Mar,2,21
10,19-Apr,3,21
10,19-May,4,21
10,19-Jun,5,21
10,19-Jul,6,21
10,19-Aug,7,21
10,19-Sep,8,22
10,19-Oct,9,21
10,19-Nov,10,21
10,19-Dec,11,22
10,20-Jan,12,20
10,20-Feb,13,20
10,20-Mar,14,21
10,20-Apr,15,21
10,20-May,16,21
10,20-Jun,17,21
10,20-Jul,18,21
10,20-Aug,19,20
10,20-Sep,20,20
10,20-Oct,21,21
10,20-Nov,22,20
10,20-Dec,23,21
10,21-Jan,24,20
10,21-Feb,25,20
10,21-Mar,26,20
10,21-Apr,27,20
10,21-May,28,20
10,21-Jun,29,20
10,21-Jul,30,20
10,21-Aug,31,19
10,21-Sep,32,20
10,21-Oct,33,20
10,21-Nov,34,20
10,21-Dec,35,21
10,22-Jan,36,20
10,22-Feb,37,19
10,22-Mar,38,19
10,22-Apr,39,19
10,22-May,40,20
10,22-Jun,41,20
10,22-Jul,42,20
10,22-Aug,43,19
10,22-Sep,44,19
10,22-Oct,45,19
10,22-Nov,46,19
10,22-Dec,47,20
11,19-Jan,0,10
11,19-Feb,1,10
11,19-Mar,2,10
11,19-Apr,3,10
11,19-May,4,10
11,19-Jun,5,11
11,19-Jul,6,10
11,19-Aug,7,11
11,19-Sep,8,11
11,19-Oct,9,11
11,19-Nov,10,11
11,19-Dec,11,12
11,20-Jan,12,10
11,20-Feb,13,9
11,20-Mar,14,10
11,20-Apr,15,10
11,20-May,16,10
11,20-Jun,17,11
11,20-Jul,18,11
11,20-Aug,19,11
11,20-Sep,20,10
11,20-Oct,21,11
11,20-Nov,22,11
11,20-Dec,23,12
11,21-Jan,24,10
11,21-Feb,25,11
11,21-Mar,26,10
11,21-Apr,27,11
11,21-May,28,11
11,21-Jun,29,11
11,21-Jul,30,11
11,21-Aug,31,10
11,21-Sep,32,11
11,21-Oct,33,12
11,21-Nov,34,11
11,21-Dec,35,13
11,22-Jan,36,11
11,22-Feb,37,10
11,22-Mar,38,11
11,22-Apr,39,10
11,22-May,40,11
11,22-Jun,41,11
11,22-Jul,42,12
11,22-Aug,43,11
11,22-Sep,44,12
11,22-Oct,45,12
11,22-Nov,46,12
11,22-Dec,47,13
12,19-Jan,0,13
12,19-Feb,1,12
12,19-Mar,2,12
12,19-Apr,3,13
12,19-May,4,14
12,19-Jun,5,13
12,19-Jul,6,14
12,19-Aug,7,14
12,19-Sep,8,13
12,19-Oct,9,14
12,19-Nov,10,15
12,19-Dec,11,17
12,20-Jan,12,14
12,20-Feb,13,14
12,20-Mar,14,15
12,20-Apr,15,14
12,20-May,16,15
12,20-Jun,17,16
12,20-Jul,18,16
12,20-Aug,19,16
12,20-Sep,20,16
12,20-Oct,21,17
12,20-Nov,22,18
12,20-Dec,23,22
12,21-Jan,24,16
12,21-Feb,25,17
12,21-Mar,26,18
12,21-Apr,27,16
12,21-May,28,18
12,21-Jun,29,18
12,21-Jul,30,19
12,21-Aug,31,19
12,21-Sep,32,20
12,21-Oct,33,19
12,21-Nov,34,19
12,21-Dec,35,23
12,22-Jan,36,21
12,22-Feb,37,19
12,22-Mar,38,19
12,22-Apr,39,21
12,22-May,40,19
12,22-Jun,41,19
12,22-Jul,42,23
12,22-Aug,43,21
12,22-Sep,44,23
12,22-Oct,45,22
12,22-Nov,46,23
12,22-Dec,47,25
13,19-Jan,0,17
13,19-Feb,1,18
13,19-Mar,2,18
13,19-Apr,3,18
13,19-May,4,18
13,19-Jun,5,19
13,19-Jul,6,19
13,19-Aug,7,19
13,19-Sep,8,18
13,19-Oct,9,20
13,19-Nov,10,19
13,19-Dec,11,21
13,20-Jan,12,19
13,20-Feb,13,19
13,20-Mar,14,20
13,20-Apr,15,20
13,20-May,16,20
13,20-Jun,17,20
13,20-Jul,18,21
13,20-Aug,19,20
13,20-Sep,20,19
13,20-Oct,21,21
13,20-Nov,22,21
13,20-Dec,23,22
13,21-Jan,24,20
13,21-Feb,25,19
13,21-Mar,26,21
13,21-Apr,27,22
13,21-May,28,22
13,21-Jun,29,20
13,21-Jul,30,22
13,21-Aug,31,23
13,21-Sep,32,22
13,21-Oct,33,23
13,21-Nov,34,21
13,21-Dec,35,25
13,22-Jan,36,23
13,22-Feb,37,20
13,22-Mar,38,22
13,22-Apr,39,23
13,22-May,40,23
13,22-Jun,41,23
13,22-Jul,42,24
13,22-Aug,43,23
13,22-Sep,44,23
13,22-Oct,45,26
13,22-Nov,46,25
13,22-Dec,47,28
14,19-Jan,0,20
14,19-Feb,1,19
14,19-Mar,2,21
14,19-Apr,3,21
14,19-May,4,21
14,19-Jun,5,22
14,19-Jul,6,21
14,19-Aug,7,21
14,19-Sep,8,22
14,19-Oct,9,21
14,19-Nov,10,22
